barcode,in_tissue,array_row,array_col,pxl_row_in_fullres,pxl_col_in_fullres
SYNTH-6-49-1,1,6,49,600,4900
SYNTH-6-50-1,1,6,50,600,5000
SYNTH-7-1-1,1,7,1,700,150
SYNTH-7-2-1,1,7,2,700,250
SYNTH-7-3-1,1,7,3,700,350
SYNTH-7-4-1,1,7,4,700,450
SYNTH-7-5-1,1,7,5,700,550
SYNTH-7-6-1,1,7,6,700,650
SYNTH-7-7-1,1,7,7,700,750
SYNTH-7-8-1,1,7,8,700,850
SYNTH-7-9-1,1,7,9,700,950
SYNTH-7-10-1,1,7,10,700,1050
SYNTH-7-11-1,1,7,11,700,1150
SYNTH-7-12-1,1,7,12,700,1250
SYNTH-7-13-1,1,7,13,700,1350
SYNTH-7-14-1,1,7,14,700,1450
SYNTH-7-15-1,1,7,15,700,1550
SYNTH-7-16-1,1,7,16,700,1650
SYNTH-7-17-1,1,7,17,700,1750
SYNTH-7-18-1,1,7,18,700,1850
SYNTH-7-19-1,1,7,19,700,1950
SYNTH-7-20-1,1,7,20,700,2050
SYNTH-7-21-1,1,7,21,700,2150
SYNTH-7-22-1,1,7,22,700,2250
SYNTH-7-23-1,1,7,23,700,2350
SYNTH-7-24-1,1,7,24,700,2450
SYNTH-7-25-1,1,7,25,700,2550
SYNTH-7-26-1,1,7,26,700,2650
SYNTH-7-27-1,1,7,27,700,2750
SYNTH-7-28-1,1,7,28,700,2850
SYNTH-7-29-1,1,7,29,700,2950
SYNTH-7-30-1,1,7,30,700,3050
SYNTH-7-31-1,1,7,31,700,3150
SYNTH-7-32-1,1,7,32,700,3250
SYNTH-7-33-1,1,7,33,700,3350
SYNTH-7-34-1,1,7,34,700,3450
SYNTH-7-35-1,1,7,35,700,3550
SYNTH-7-36-1,1,7,36,700,3650
SYNTH-7-37-1,1,7,37,700,3750
SYNTH-7-38-1,1,7,38,700,3850
SYNTH-7-39-1,1,7,39,700,3950
SYNTH-7-40-1,1,7,40,700,4050
SYNTH-7-41-1,1,7,41,700,4150
SYNTH-7-42-1,1,7,42,700,4250
SYNTH-7-43-1,1,7,43,700,4350
SYNTH-7-44-1,1,7,44,700,4450
SYNTH-7-45-1,1,7,45,700,4550
SYNTH-7-46-1,1,7,46,700,4650
SYNTH-7-47-1,1,7,47,700,4750
SYNTH-7-48-1,1,7,48,700,4850
SYNTH-7-49-1,1,7,49,700,4950
SYNTH-7-50-1,1,7,50,700,5050
SYNTH-8-1-1,1,8,1,800,100
SYNTH-8-2-1,1,8,2,800,200
SYNTH-8-3-1,1,8,3,800,300
SYNTH-8-4-1,1,8,4,800,400
SYNTH-8-5-1,1,8,5,800,500
SYNTH-8-6-1,1,8,6,800,600
SYNTH-8-7-1,1,8,7,800,700
SYNTH-8-8-1,1,8,8,800,800
SYNTH-8-9-1,1,8,9,800,900
SYNTH-8-10-1,1,8,10,800,1000
SYNTH-8-11-1,1,8,11,800,1100
SYNTH-8-12-1,1,8,12,800,1200
SYNTH-8-13-1,1,8,13,800,1300
SYNTH-8-14-1,1,8,14,800,1400
SYNTH-8-15-1,1,8,15,800,1500
SYNTH-8-16-1,1,8,16,800,1600
SYNTH-8-17-1,1,8,17,800,1700
SYNTH-8-18-1,1,8,18,800,1800
SYNTH-8-19-1,1,8,19,800,1900
SYNTH-8-20-1,1,8,20,800,2000
SYNTH-8-21-1,1,8,21,800,2100
SYNTH-8-22-1,1,8,22,800,2200
SYNTH-8-23-1,1,8,23,800,2300
SYNTH-8-24-1,1,8,24,800,2400
SYNTH-8-25-1,1,8,25,800,2500
SYNTH-8-26-1,1,8,26,800,2600
SYNTH-8-27-1,1,8,27,800,2700
SYNTH-8-28-1,1,8,28,800,2800
SYNTH-8-29-1,1,8,29,800,2900
SYNTH-8-30-1,1,8,30,800,3000
SYNTH-8-31-1,1,8,31,800,3100
SYNTH-8-32-1,1,8,32,800,3200
SYNTH-8-33-1,1,8,33,800,3300
SYNTH-8-34-1,1,8,34,800,3400
SYNTH-8-35-1,1,8,35,800,3500
SYNTH-8-36-1,1,8,36,800,3600
SYNTH-8-37-1,1,8,37,800,3700
SYNTH-8-38-1,1,8,38,800,3800
SYNTH-8-39-1,1,8,39,800,3900
SYNTH-8-40-1,1,8,40,800,4000
SYNTH-8-41-1,1,8,41,800,4100
SYNTH-8-42-1,1,8,42,800,4200
SYNTH-8-43-1,1,8,43,800,4300
SYNTH-8-44-1,1,8,44,800,4400
SYNTH-8-45-1,1,8,45,800,4500
SYNTH-8-46-1,1,8,46,800,4600
SYNTH-8-47-1,1,8,47,800,4700
SYNTH-8-48-1,1,8,48,800,4800
SYNTH-8-49-1,1,8,49,800,4900
SYNTH-8-50-1,1,8,50,800,5000
SYNTH-9-1-1,1,9,1,900,150
SYNTH-9-2-1,1,9,2,900,250
SYNTH-9-3-1,1,9,3,900,350
SYNTH-9-4-1,1,9,4,900,450
SYNTH-9-5-1,1,9,5,900,550
SYNTH-9-6-1,1,9,6,900,650
SYNTH-9-7-1,1,9,7,900,750
SYNTH-9-8-1,1,9,8,900,850
SYNTH-9-9-1,1,9,9,900,950
SYNTH-9-10-1,1,9,10,900,1050
SYNTH-9-11-1,1,9,11,900,1150
SYNTH-9-12-1,1,9,12,900,1250
SYNTH-9-13-1,1,9,13,900,1350
SYNTH-9-14-1,1,9,14,900,1450
SYNTH-9-15-1,1,9,15,900,1550
SYNTH-9-16-1,1,9,16,900,1650
SYNTH-9-17-1,1,9,17,900,1750
SYNTH-9-18-1,1,9,18,900,1850
SYNTH-9-19-1,1,9,19,900,1950
SYNTH-9-20-1,1,9,20,900,2050
SYNTH-9-21-1,1,9,21,900,2150
SYNTH-9-22-1,1,9,22,900,2250
SYNTH-9-23-1,1,9,23,900,2350
SYNTH-9-24-1,1,9,24,900,2450
SYNTH-9-25-1,1,9,25,900,2550
SYNTH-9-26-1,1,9,26,900,2650
SYNTH-9-27-1,1,9,27,900,2750
SYNTH-9-28-1,1,9,28,900,2850
SYNTH-9-29-1,1,9,29,900,2950
SYNTH-9-30-1,1,9,30,900,3050
SYNTH-9-31-1,1,9,31,900,3150
SYNTH-9-32-1,1,9,32,900,3250
SYNTH-9-33-1,1,9,33,900,3350
SYNTH-9-34-1,1,9,34,900,3450
SYNTH-9-35-1,1,9,35,900,3550
SYNTH-9-36-1,1,9,36,900,3650
SYNTH-9-37-1,1,9,37,900,3750
SYNTH-9-38-1,1,9,38,900,3850
SYNTH-9-39-1,1,9,39,900,3950
SYNTH-9-40-1,1,9,40,900,4050
SYNTH-9-41-1,1,9,41,900,4150
SYNTH-9-42-1,1,9,42,900,4250
SYNTH-9-43-1,1,9,43,900,4350
SYNTH-9-44-1,1,9,44,900,4450
SYNTH-9-45-1,1,9,45,900,4550
SYNTH-9-46-1,1,9,46,900,4650
SYNTH-9-47-1,1,9,47,900,4750
SYNTH-9-48-1,1,9,48,900,4850
SYNTH-9-49-1,1,9,49,900,4950
SYNTH-9-50-1,1,9,50,900,5050
SYNTH-10-1-1,1,10,1,1000,100
SYNTH-10-2-1,1,10,2,1000,200
SYNTH-10-3-1,1,10,3,1000,300
SYNTH-10-4-1,1,10,4,1000,400
SYNTH-10-5-1,1,10,5,1000,500
SYNTH-10-6-1,1,10,6,1000,600
SYNTH-10-7-1,1,10,7,1000,700
SYNTH-10-8-1,1,10,8,1000,800
SYNTH-10-9-1,1,10,9,1000,900
SYNTH-10-10-1,1,10,10,1000,1000
SYNTH-10-11-1,1,10,11,1000,1100
SYNTH-10-12-1,1,10,12,1000,1200
SYNTH-10-13-1,1,10,13,1000,1300
SYNTH-10-14-1,1,10,14,1000,1400
SYNTH-10-15-1,1,10,15,1000,1500
SYNTH-10-16-1,1,10,16,1000,1600
SYNTH-10-17-1,1,10,17,1000,1700
SYNTH-10-18-1,1,10,18,1000,1800
SYNTH-10-19-1,1,10,19,1000,1900
SYNTH-10-20-1,1,10,20,1000,2000
SYNTH-10-21-1,1,10,21,1000,2100
SYNTH-10-22-1,1,10,22,1000,2200
SYNTH-10-23-1,1,10,23,1000,2300
SYNTH-10-24-1,1,10,24,1000,2400
SYNTH-10-25-1,1,10,25,1000,2500
SYNTH-10-26-1,1,10,26,1000,2600
SYNTH-10-27-1,1,10,27,1000,2700
SYNTH-10-28-1,1,10,28,1000,2800
SYNTH-10-29-1,1,10,29,1000,2900
SYNTH-10-30-1,1,10,30,1000,3000
SYNTH-10-31-1,1,10,31,1000,3100
SYNTH-10-32-1,1,10,32,1000,3200
SYNTH-10-33-1,1,10,33,1000,3300
SYNTH-10-34-1,1,10,34,1000,3400
SYNTH-10-35-1,1,10,35,1000,3500
SYNTH-10-36-1,1,10,36,1000,3600
SYNTH-10-37-1,1,10,37,1000,3700
SYNTH-10-38-1,1,10,38,1000,3800
SYNTH-10-39-1,1,10,39,1000,3900
SYNTH-10-40-1,1,10,40,1000,4000
SYNTH-10-41-1,1,10,41,1000,4100
SYNTH-10-42-1,1,10,42,1000,4200
SYNTH-10-43-1,1,10,43,1000,4300
SYNTH-10-44-1,1,10,44,1000,4400
SYNTH-10-45-1,1,10,45,1000,4500
SYNTH-10-46-1,1,10,46,1000,4600
SYNTH-10-47-1,1,10,47,1000,4700
SYNTH-10-48-1,1,10,48,1000,4800
SYNTH-10-49-1,1,10,49,1000,4900
SYNTH-10-50-1,1,10,50,1000,5000
SYNTH-11-1-1,1,11,1,1100,150
SYNTH-11-2-1,1,11,2,1100,250
SYNTH-11-3-1,1,11,3,1100,350
SYNTH-11-4-1,1,11,4,1100,450
SYNTH-11-5-1,1,11,5,1100,550
SYNTH-11-6-1,1,11,6,1100,650
SYNTH-11-7-1,1,11,7,1100,750
SYNTH-11-8-1,1,11,8,1100,850
SYNTH-11-9-1,1,11,9,1100,950
SYNTH-11-10-1,1,11,10,1100,1050
SYNTH-11-11-1,1,11,11,1100,1150
SYNTH-11-12-1,1,11,12,1100,1250
SYNTH-11-13-1,1,11,13,1100,1350
SYNTH-11-14-1,1,11,14,1100,1450
SYNTH-11-15-1,1,11,15,1100,1550
SYNTH-11-16-1,1,11,16,1100,1650
SYNTH-11-17-1,1,11,17,1100,1750
SYNTH-11-18-1,1,11,18,1100,1850
SYNTH-11-19-1,1,11,19,1100,1950
SYNTH-11-20-1,1,11,20,1100,2050
SYNTH-11-21-1,1,11,21,1100,2150
SYNTH-11-22-1,1,11,22,1100,2250
SYNTH-11-23-1,1,11,23,1100,2350
SYNTH-11-24-1,1,11,24,1100,2450
SYNTH-11-25-1,1,11,25,1100,2550
SYNTH-11-26-1,1,11,26,1100,2650
SYNTH-11-27-1,1,11,27,1100,2750
SYNTH-11-28-1,1,11,28,1100,2850
SYNTH-11-29-1,1,11,29,1100,2950
SYNTH-11-30-1,1,11,30,1100,3050
SYNTH-11-31-1,1,11,31,1100,3150
SYNTH-11-32-1,1,11,32,1100,3250
SYNTH-11-33-1,1,11,33,1100,3350
SYNTH-11-34-1,1,11,34,1100,3450
SYNTH-11-35-1,1,11,35,1100,3550
SYNTH-11-36-1,1,11,36,1100,3650
SYNTH-11-37-1,1,11,37,1100,3750
SYNTH-11-38-1,1,11,38,1100,3850
SYNTH-11-39-1,1,11,39,1100,3950
SYNTH-11-40-1,1,11,40,1100,4050
SYNTH-11-41-1,1,11,41,1100,4150
SYNTH-11-42-1,1,11,42,1100,4250
SYNTH-11-43-1,1,11,43,1100,4350
SYNTH-11-44-1,1,11,44,1100,4450
SYNTH-11-45-1,1,11,45,1100,4550
SYNTH-11-46-1,1,11,46,1100,4650
SYNTH-11-47-1,1,11,47,1100,4750
SYNTH-11-48-1,1,11,48,1100,4850
SYNTH-11-49-1,1,11,49,1100,4950
SYNTH-11-50-1,1,11,50,1100,5050
SYNTH-12-1-1,1,12,1,1200,100
SYNTH-12-2-1,1,12,2,1200,200
SYNTH-12-3-1,1,12,3,1200,300
SYNTH-12-4-1,1,12,4,1200,400
SYNTH-12-5-1,1,12,5,1200,500
SYNTH-12-6-1,1,12,6,1200,600
SYNTH-12-7-1,1,12,7,1200,700
SYNTH-12-8-1,1,12,8,1200,800
SYNTH-12-9-1,1,12,9,1200,900
SYNTH-12-10-1,1,12,10,1200,1000
SYNTH-12-11-1,1,12,11,1200,1100
SYNTH-12-12-1,1,12,12,1200,1200
SYNTH-12-13-1,1,12,13,1200,1300
SYNTH-12-14-1,1,12,14,1200,1400
SYNTH-12-15-1,1,12,15,1200,1500
SYNTH-12-16-1,1,12,16,1200,1600
SYNTH-12-17-1,1,12,17,1200,1700
SYNTH-12-18-1,1,12,18,1200,1800
SYNTH-12-19-1,1,12,19,1200,1900
SYNTH-12-20-1,1,12,20,1200,2000
SYNTH-12-21-1,1,12,21,1200,2100
SYNTH-12-22-1,1,12,22,1200,2200
SYNTH-12-23-1,1,12,23,1200,2300
SYNTH-12-24-1,1,12,24,1200,2400
SYNTH-12-25-1,1,12,25,1200,2500
SYNTH-12-26-1,1,12,26,1200,2600
SYNTH-12-27-1,1,12,27,1200,2700
SYNTH-12-28-1,1,12,28,1200,2800
SYNTH-12-29-1,1,12,29,1200,2900
SYNTH-12-30-1,1,12,30,1200,3000
SYNTH-12-31-1,1,12,31,1200,3100
SYNTH-12-32-1,1,12,32,1200,3200
SYNTH-12-33-1,1,12,33,1200,3300
SYNTH-12-34-1,1,12,34,1200,3400
SYNTH-12-35-1,1,12,35,1200,3500
SYNTH-12-36-1,1,12,36,1200,3600
SYNTH-12-37-1,1,12,37,1200,3700
SYNTH-12-38-1,1,12,38,1200,3800
SYNTH-12-39-1,1,12,39,1200,3900
SYNTH-12-40-1,1,12,40,1200,4000
SYNTH-12-41-1,1,12,41,1200,4100
SYNTH-12-42-1,1,12,42,1200,4200
SYNTH-12-43-1,1,12,43,1200,4300
SYNTH-12-44-1,1,12,44,1200,4400
SYNTH-12-45-1,1,12,45,1200,4500
SYNTH-12-46-1,1,12,46,1200,4600
SYNTH-12-47-1,1,12,47,1200,4700
SYNTH-12-48-1,1,12,48,1200,4800
SYNTH-12-49-1,1,12,49,1200,4900
SYNTH-12-50-1,1,12,50,1200,5000
SYNTH-13-1-1,1,13,1,1300,150
SYNTH-13-2-1,1,13,2,1300,250
SYNTH-13-3-1,1,13,3,1300,350
